stem,name,display_name,description,svg,png512_glacier
SIG_Icon20_Advisor_RGB,Advisor,Advisor,"Line-art portrait of a man wearing glasses and a blazer, representing a professional advisor.",assets/icons/svg/SIG_Icon20_Advisor_RGB.svg,assets/icons/png_512/glacier/SIG_Icon20_Advisor_RGB.png
SIG_Icon20_Anonymous_RGB,Anonymous,Anonymous,"Silhouette bust of a person with a question mark in a circle overlapping the chest, representing anonymity or an unknown identity.",assets/icons/svg/SIG_Icon20_Anonymous_RGB.svg,assets/icons/png_512/glacier/SIG_Icon20_Anonymous_RGB.png
SIG_Icon20_Bar-Graph_RGB,Bar-Graph,Bar Graph,"Bar chart with ascending bars and an upward-trending arrow, representing growth or performance data.",assets/icons/svg/SIG_Icon20_Bar-Graph_RGB.svg,assets/icons/png_512/glacier/SIG_Icon20_Bar-Graph_RGB.png
SIG_Icon20_Benefits_RGB,Benefits,Benefits,"Open hand presenting a plus/cross symbol surrounded by sparkle accents, representing benefits or added value.",assets/icons/svg/SIG_Icon20_Benefits_RGB.svg,assets/icons/png_512/glacier/SIG_Icon20_Benefits_RGB.png
SIG_Icon20_Bible_RGB,Bible,Bible,"Closed book with a cross on the cover and a ribbon bookmark, representing the Bible or scripture.",assets/icons/svg/SIG_Icon20_Bible_RGB.svg,assets/icons/png_512/glacier/SIG_Icon20_Bible_RGB.png
SIG_Icon20_Business-Interest_RGB,Business-Interest,Business Interest,"Briefcase with a keyhole on the front, representing a business interest or ownership stake.",assets/icons/svg/SIG_Icon20_Business-Interest_RGB.svg,assets/icons/png_512/glacier/SIG_Icon20_Business-Interest_RGB.png
SIG_Icon20_Business-Sale_RGB,Business-Sale,Business Sale,"Storefront building with an awning, representing a business available for sale.",assets/icons/svg/SIG_Icon20_Business-Sale_RGB.svg,assets/icons/png_512/glacier/SIG_Icon20_Business-Sale_RGB.png
SIG_Icon20_Calendar_RGB,Calendar,Calendar,"Wall calendar with hanging rings at the top and a grid of date squares, representing scheduling or dates.",assets/icons/svg/SIG_Icon20_Calendar_RGB.svg,assets/icons/png_512/glacier/SIG_Icon20_Calendar_RGB.png
SIG_Icon20_Charities_RGB,Charities,Charities,"Heart shape with a dollar sign inside, sitting in a donation box, representing charitable organizations.",assets/icons/svg/SIG_Icon20_Charities_RGB.svg,assets/icons/png_512/glacier/SIG_Icon20_Charities_RGB.png
SIG_Icon20_Collaboration_RGB,Collaboration,Collaboration,"Three hands clasping and joining together, representing teamwork and collaboration.",assets/icons/svg/SIG_Icon20_Collaboration_RGB.svg,assets/icons/png_512/glacier/SIG_Icon20_Collaboration_RGB.png
SIG_Icon20_Collective_RGB,Collective,Collective,"Circular hub-and-spoke diagram with a central circled letter connected to small outer nodes, representing a collective or network.",assets/icons/svg/SIG_Icon20_Collective_RGB.svg,assets/icons/png_512/glacier/SIG_Icon20_Collective_RGB.png
SIG_Icon20_Contribute_RGB,Contribute,Contribute,"Hand dropping a coin marked with a plus sign into a money bag on a pedestal, representing making a contribution.",assets/icons/svg/SIG_Icon20_Contribute_RGB.svg,assets/icons/png_512/glacier/SIG_Icon20_Contribute_RGB.png
SIG_Icon20_Conversation_RGB,Conversation,Conversation,"Two overlapping speech bubbles with lines of text, representing dialogue or conversation.",assets/icons/svg/SIG_Icon20_Conversation_RGB.svg,assets/icons/png_512/glacier/SIG_Icon20_Conversation_RGB.png
SIG_Icon20_Creativity_RGB,Creativity,Creativity,"Lightbulb made of interlocking puzzle pieces with radiating lines, representing creative ideas.",assets/icons/svg/SIG_Icon20_Creativity_RGB.svg,assets/icons/png_512/glacier/SIG_Icon20_Creativity_RGB.png
SIG_Icon20_Cross_RGB,Cross,Cross,"A simple line-art cross, representing faith/Christian identity.",assets/icons/svg/SIG_Icon20_Cross_RGB.svg,assets/icons/png_512/glacier/SIG_Icon20_Cross_RGB.png
SIG_Icon20_Desktop_RGB,Desktop,Desktop,"Computer monitor displaying a gear icon and a bar chart, representing a software dashboard or desktop application.",assets/icons/svg/SIG_Icon20_Desktop_RGB.svg,assets/icons/png_512/glacier/SIG_Icon20_Desktop_RGB.png
SIG_Icon20_Development_RGB,Development,Development,"Gear encircled by a dashed circular arrow, representing an ongoing development or improvement cycle.",assets/icons/svg/SIG_Icon20_Development_RGB.svg,assets/icons/png_512/glacier/SIG_Icon20_Development_RGB.png
SIG_Icon20_Disclosure_RGB,Disclosure,Disclosure,"Eye icon in front of a document with a pie chart, representing transparency and viewing disclosed information.",assets/icons/svg/SIG_Icon20_Disclosure_RGB.svg,assets/icons/png_512/glacier/SIG_Icon20_Disclosure_RGB.png
SIG_Icon20_Donor-Advised-Fund_RGB,Donor-Advised-Fund,Donor Advised Fund,"Computer monitor showing an envelope with a dollar sign and a bar chart, representing an online donor-advised fund account.",assets/icons/svg/SIG_Icon20_Donor-Advised-Fund_RGB.svg,assets/icons/png_512/glacier/SIG_Icon20_Donor-Advised-Fund_RGB.png
SIG_Icon20_Donors_RGB,Donors,Donors,"Hand holding up a dollar sign encircled by a recycling-style arrow loop, representing recurring donor giving.",assets/icons/svg/SIG_Icon20_Donors_RGB.svg,assets/icons/png_512/glacier/SIG_Icon20_Donors_RGB.png
SIG_Icon20_Ease-Of-Use_RGB,Ease-Of-Use,Ease Of Use,"Hand pointing to a sparkling star, representing simplicity and a positive user experience.",assets/icons/svg/SIG_Icon20_Ease-Of-Use_RGB.svg,assets/icons/png_512/glacier/SIG_Icon20_Ease-Of-Use_RGB.png
SIG_Icon20_Family-Silhouette_RGB,Family-Silhouette,Family Silhouette,"Silhouettes of a family group with two adults and two children, representing family.",assets/icons/svg/SIG_Icon20_Family-Silhouette_RGB.svg,assets/icons/png_512/glacier/SIG_Icon20_Family-Silhouette_RGB.png
SIG_Icon20_Family_RGB,Family,Family,"Two overlapping hands, one raised behind the other, representing family unity and connection.",assets/icons/svg/SIG_Icon20_Family_RGB.svg,assets/icons/png_512/glacier/SIG_Icon20_Family_RGB.png
SIG_Icon20_Fees_RGB,Fees,Fees,"Pie chart with a dollar sign in the largest segment and a minus sign in a separated smaller segment, representing fee deductions.",assets/icons/svg/SIG_Icon20_Fees_RGB.svg,assets/icons/png_512/glacier/SIG_Icon20_Fees_RGB.png
SIG_Icon20_Forms_RGB,Forms,Forms,"Clipboard with a checklist of checkboxes and lines next to a pencil, representing paperwork or forms to complete.",assets/icons/svg/SIG_Icon20_Forms_RGB.svg,assets/icons/png_512/glacier/SIG_Icon20_Forms_RGB.png
SIG_Icon20_Generations_RGB,Generations,Generations,"Clock-like ring surrounding a DNA double-helix strand, representing generational continuity over time.",assets/icons/svg/SIG_Icon20_Generations_RGB.svg,assets/icons/png_512/glacier/SIG_Icon20_Generations_RGB.png
SIG_Icon20_Generosity(Lifestyle)_RGB,Generosity(Lifestyle),Generosity (Lifestyle),"Large heart above a group of people silhouettes, representing a lifestyle of generosity within a community.",assets/icons/svg/SIG_Icon20_Generosity(Lifestyle)_RGB.svg,assets/icons/png_512/glacier/SIG_Icon20_Generosity(Lifestyle)_RGB.png
SIG_Icon20_Generosity-Calculator_RGB,Generosity-Calculator,Generosity Calculator,"Calculator with a heart icon and plus/minus symbols on its screen, representing calculating charitable giving.",assets/icons/svg/SIG_Icon20_Generosity-Calculator_RGB.svg,assets/icons/png_512/glacier/SIG_Icon20_Generosity-Calculator_RGB.png
