filename,category,topic,status,version_or_date,last_modified,summary,talking_points,related_docs,webUrl,driveId,itemId,source_type
Generosity Plan Guide_TheSignatry.pdf,Guide,Personal generosity planning,current,2020,2020-03-27,"Workbook walking an individual or family through why/where/how they want to be generous, ending in a generosity plan they can act on.","Three core questions: Why do I want to be generous? Where will I be generous? How will I be generous?|Generosity encompasses time, talent, and treasure, not just cash|Ties into The Signatry's mission/vision/values",TheSignatry_Family-Giving-Plan_202508.pdf (family-oriented version of same exercise),https://thesignatry.sharepoint.com/sites/AllTeam/Shared%20Documents/Department-Shared/Brand%20%26%20Marketing/02.%20Fact%20Sheets%20and%20Guides/Guides/Generosity%20Plan%20Guide_TheSignatry.pdf,b!So80IAsvh0eUdTDmtQzFGmdeT92dGu9Mu9V8IjhA8t4EDgW1hU37QLxlKISLVR2I,01R2DB63B2GWCLJHXRIZALU4MY4DPU4472,sharepoint_pdf
DAFs and Advisors_TheSignatry.pdf,Fact Sheet,DAFs for financial advisors,current,undated,2020-06-04,"Pitches DAFs to financial advisors as a client-engagement and practice-differentiation tool covering tax savings, family meetings, charitable bunching, and estate planning.",DAFs help advisors differentiate their practice and deepen client relationships|Useful for charitable bunching strategies and estate planning conversations|Advisor can be involved in managing DAF investments,,https://thesignatry.sharepoint.com/sites/AllTeam/Shared%20Documents/Department-Shared/Brand%20%26%20Marketing/02.%20Fact%20Sheets%20and%20Guides/Fact%20Sheets/DAFs%20and%20Advisors_TheSignatry.pdf,b!So80IAsvh0eUdTDmtQzFGmdeT92dGu9Mu9V8IjhA8t4EDgW1hU37QLxlKISLVR2I,01R2DB63HMQMWJVLCHCRALG46PLIUQ4SVH,sharepoint_pdf
CRTs and The Signatry.pdf,Fact Sheet,Charitable remainder trusts,current,undated,2019-09-23,Explains how pairing a charitable remainder trust (CRT) with a DAF at The Signatry lets donors name the DAF (not a single charity) as beneficiary for flexibility.,Naming a DAF as CRT beneficiary avoids locking in a single charity at trust creation|Family can modify supported charities over time at no added cost|Advisor can manage both the CRT and the DAF,,https://thesignatry.sharepoint.com/sites/AllTeam/Shared%20Documents/Department-Shared/Brand%20%26%20Marketing/02.%20Fact%20Sheets%20and%20Guides/Fact%20Sheets/CRTs%20and%20The%20Signatry.pdf,b!So80IAsvh0eUdTDmtQzFGmdeT92dGu9Mu9V8IjhA8t4EDgW1hU37QLxlKISLVR2I,01R2DB63EVUUFRN7SVKRFJ2TRGRIYPYMUX,sharepoint_pdf
Donor Advised Funds - The Signatry - 202509.pdf,Fact Sheet,DAF fundamentals,current,202509,2025-09-12,"Core explainer of what a DAF is and how it works (Give/Grow/Grant), plus benefits: tax deductions, noncash asset giving, BRI pools, recurring grants, family involvement.","Give. Grow. Grant. is the core DAF framework|Contributions of nonliquid assets (business interests, real estate) are accepted|Includes standard advice disclaimer",,https://thesignatry.sharepoint.com/sites/AllTeam/Shared%20Documents/Department-Shared/Brand%20%26%20Marketing/02.%20Fact%20Sheets%20and%20Guides/Fact%20Sheets/Donor%20Advised%20Funds%20-%20The%20Signatry%20-%20202509.pdf,b!So80IAsvh0eUdTDmtQzFGmdeT92dGu9Mu9V8IjhA8t4EDgW1hU37QLxlKISLVR2I,01R2DB63B55ZA5AI62QNE372LLX636I4CK,sharepoint_pdf
TheSignatry_Family-Giving-Plan_202508.pdf,Guide,Family giving plan,current,202508,2025-08-22,"Full workbook for families to build a giving plan together: motivation, giving style, budget (with 4 budgeting approaches incl. C.S. Lewis's 'pinch' and 10% tithe benchmark), asset types, and a fill-in template.",Covers 4 budgeting philosophies including C.S. Lewis's 'pinch' principle and the 10% tithe benchmark|About 90% of American wealth is in noncash assets - encourages giving beyond cash|Includes a literal giving-plan template families can fill out together,,https://thesignatry.sharepoint.com/sites/AllTeam/Shared%20Documents/Department-Shared/Brand%20%26%20Marketing/02.%20Fact%20Sheets%20and%20Guides/Guides/TheSignatry_Family-Giving-Plan_202508.pdf,b!So80IAsvh0eUdTDmtQzFGmdeT92dGu9Mu9V8IjhA8t4EDgW1hU37QLxlKISLVR2I,01R2DB63H7QIWOOMZG3REK5SRBVE5EUMN4,sharepoint_pdf
AlternativeInvestments_TheSignatry_202505.pdf,Fact Sheet,Alternative investments,current,202505,2025-06-12,"Explains how a DAF can be invested in vetted alternative investments (hedge funds, private equity, VC, promissory notes, social enterprises) for tax-free growth.",Growth on DAF assets is generally tax-free|Donors can recommend an alt investment opportunity; The Signatry vets it|Alt investments diversify beyond traditional options and can target specific industries/social enterprises,"alternative-investments (webpage) - website version routes through an online recommendation form + Donor Care team, slightly different contact flow than this PDF's investments@thesignatry.com",https://thesignatry.sharepoint.com/sites/AllTeam/Shared%20Documents/Department-Shared/Brand%20%26%20Marketing/02.%20Fact%20Sheets%20and%20Guides/Fact%20Sheets/AlternativeInvestments_TheSignatry_202505.pdf,b!So80IAsvh0eUdTDmtQzFGmdeT92dGu9Mu9V8IjhA8t4EDgW1hU37QLxlKISLVR2I,01R2DB63GZIDIUN7EO7FHY2TEOTWZS2W3H,sharepoint_pdf
Three Questions to Ask Before Selling Your Business - The Signatry - 202503A.pdf,Guide,Business sale stewardship,current,202503A,2025-07-30,"Faith-framed guide for Christian business owners preparing to sell: readiness, making an impact (with a give-first-vs-sell-first tax example), and stewarding family through the transition.","Give-before-sale example: gifting 20% before a $10M sale saves ~$685K vs. selling first then giving|Three guiding questions: am I ready to sell, how do I make an impact, how do I steward my family|Also promoted as a downloadable lead-gen guide on the business-interests webpage",,https://thesignatry.sharepoint.com/sites/AllTeam/Shared%20Documents/Department-Shared/Brand%20%26%20Marketing/02.%20Fact%20Sheets%20and%20Guides/Guides/Three%20Questions%20to%20Ask%20Before%20Selling%20Your%20Business%20-%20The%20Signatry%20-%20202503A.pdf,b!So80IAsvh0eUdTDmtQzFGmdeT92dGu9Mu9V8IjhA8t4EDgW1hU37QLxlKISLVR2I,01R2DB63CFHNRP7NCGDRA22QKALYB5HOJV,sharepoint_pdf
DAFs vs PFs_TheSignatry.pdf,Fact Sheet,DAF vs private foundation comparison,current,undated,2020-06-15,"Side-by-side comparison table of DAFs vs. private foundations covering cost, governance, distribution requirements, AGI deduction limits, privacy, and more.",DAFs have no cost to open; PFs typically cost $5K-$30K to establish|PFs must distribute 5% of assets annually; DAFs have no minimum distribution requirement|DAF cash gifts deductible up to 60% AGI vs. 30% AGI for PFs,Comparing Charitable Options.pdf (adds a third option: supporting organizations),https://thesignatry.sharepoint.com/sites/AllTeam/Shared%20Documents/Department-Shared/Brand%20%26%20Marketing/02.%20Fact%20Sheets%20and%20Guides/Fact%20Sheets/DAFs%20vs%20PFs_TheSignatry.pdf,b!So80IAsvh0eUdTDmtQzFGmdeT92dGu9Mu9V8IjhA8t4EDgW1hU37QLxlKISLVR2I,01R2DB63HALA5ZDSICXBALE525S7WVVXKZ,sharepoint_pdf
Comparing Charitable Options.pdf,Fact Sheet,DAF vs PF vs supporting org comparison,current,undated,2018-04-02,"Three-way comparison table: DAFs, private foundations, and supporting organizations across cost, governance, distribution rules, excise tax, and AGI deduction limits.","Adds supporting organizations as a third option alongside DAF/PF (donor can help select board, capped at 49% control)|Supporting orgs face no mandatory annual distribution, unlike PFs|Older than DAFs vs PFs_TheSignatry.pdf but covers a third vehicle it doesn't - keep both","DAFs vs PFs_TheSignatry.pdf (two-way, more recent version of overlapping comparison)",https://thesignatry.sharepoint.com/sites/AllTeam/Shared%20Documents/Department-Shared/Brand%20%26%20Marketing/02.%20Fact%20Sheets%20and%20Guides/Fact%20Sheets/Comparing%20Charitable%20Options.pdf,b!So80IAsvh0eUdTDmtQzFGmdeT92dGu9Mu9V8IjhA8t4EDgW1hU37QLxlKISLVR2I,01R2DB63FCLZ5RHU55FJB2HT5DJD7TI4IK,sharepoint_pdf
TheSignatry_Ministry Complex Asset Guide.pdf,Guide,Nonprofit development - complex asset gifts,current,undated,2022-05-31,"Guide for nonprofit development staff to educate major donors on complex asset gifts (stock, business interests, real estate) via a DAF, with donor conversation starters and bundled fact sheets in an appendix.","90% of American wealth is in noncash assets, but nonprofits get 80% of gifts as cash|Contains donor conversation-starter questions for major-gift officers|Appendix bundles the standalone Stock, Business Interest, and Real Estate fact sheets - keep in sync with those files","Business Sale_The Signatry.pdf, Publicly Traded Securities_The Signatry.pdf, Real Estate_The Signatry.pdf (same fact sheets appear standalone)",https://thesignatry.sharepoint.com/sites/AllTeam/Shared%20Documents/Department-Shared/Brand%20%26%20Marketing/02.%20Fact%20Sheets%20and%20Guides/Guides/TheSignatry_Ministry%20Complex%20Asset%20Guide.pdf,b!So80IAsvh0eUdTDmtQzFGmdeT92dGu9Mu9V8IjhA8t4EDgW1hU37QLxlKISLVR2I,01R2DB63CG2OYWHWIJMBE3ED5EXQZL47YO,sharepoint_pdf
